Zona Operativa,Coordenadas del Poligono
DEV088A,"-58.4982510841,-34.6023691879,0 -58.4982445382,-34.6022849838,0 -58.4980526242,-34.6021758369,0 -58.4979663095,-34.6021952751,0 -58.4977840579,-34.6020911478,0 -58.4977977071,-34.6020308116,0 -58.4978565928,-34.6018947876,0 -58.4978575637,-34.6017581730,0 -58.5007315410,-34.6019619742,0 -58.5005440139,-34.6022436105,0 -58.5005745702,-34.6023397929,0 -58.5000894260,-34.6030303415,0 -58.5009087362,-34.6035297123,0 -58.5006926974,-34.6038161775,0 -58.4998610825,-34.6033181679,0 -58.4998395777,-34.6032193285,0 -58.4996449328,-34.6031016425,0 -58.4995378915,-34.6031179275,0 -58.4991600102,-34.6028950304,0 -58.4990227177,-34.6030561002,0 -58.4987032448,-34.6028757841,0 -58.4988652311,-34.6026985707,0 -58.4982510841,-34.6023691879,0"
DEV088B,"-58.5005745702,-34.6023397929,0 -58.5005440139,-34.6022436105,0 -58.5007315410,-34.6019619742,0 -58.5024120654,-34.6020811128,0 -58.5022283792,-34.6022889794,0 -58.5021581509,-34.6022860531,0 -58.5020648894,-34.6023094981,0 -58.5018054921,-34.6026202397,0 -58.5018223322,-34.6026792899,0 -58.5019152422,-34.6029855005,0 -58.5019269236,-34.6030396147,0 -58.5012513775,-34.6038502925,0 -58.5011616962,-34.6038669288,0 -58.5010320957,-34.6040176380,0 -58.5008424457,-34.6038255799,0 -58.5007470602,-34.6038440212,0 -58.5006926974,-34.6038161775,0 -58.5009087362,-34.6035297123,0 -58.5000894260,-34.6030303415,0 -58.5005745702,-34.6023397929,0"
DEV088C,"-58.4973475104,-34.6028568044,0 -58.4974263776,-34.6028436297,0 -58.4975647429,-34.6026961073,0 -58.4975611437,-34.6026287224,0 -58.4979663095,-34.6021952751,0 -58.4980526242,-34.6021758369,0 -58.4982445382,-34.6022849838,0 -58.4982510841,-34.6023691879,0 -58.4988652311,-34.6026985707,0 -58.4987032448,-34.6028757841,0 -58.4990227177,-34.6030561002,0 -58.4987456116,-34.6033608296,0 -58.4986604066,-34.6033598563,0 -58.4985267294,-34.6035102946,0 -58.4983224605,-34.6033873829,0 -58.4982234993,-34.6033971129,0 -58.4977058025,-34.6039664716,0 -58.4975034202,-34.6038472119,0 -58.4970936539,-34.6036057431,0 -58.4970048589,-34.6036067680,0 -58.4968158601,-34.6034945980,0 -58.4968098155,-34.6034096416,0 -58.4973475104,-34.6028568044,0"
DEV088D,"-58.4985458276,-34.6035919719,0 -58.4985267294,-34.6035102946,0 -58.4986604066,-34.6033598563,0 -58.4987456116,-34.6033608296,0 -58.4990227177,-34.6030561002,0 -58.4991600102,-34.6028950304,0 -58.4995378915,-34.6031179275,0 -58.4996449328,-34.6031016425,0 -58.4998395777,-34.6032193285,0 -58.4998610825,-34.6033181679,0 -58.5006926974,-34.6038161775,0 -58.5007470602,-34.6038440212,0 -58.5008424457,-34.6038255799,0 -58.5010320960,-34.6040176383,0 -58.5010456818,-34.6040716555,0 -58.5005961036,-34.6045973472,0 -58.5005160119,-34.6046159820,0 -58.5003272425,-34.6045859995,0 -58.5002172849,-34.6046086271,0 -58.4993171873,-34.6040596824,0 -58.4989053003,-34.6046524363,0 -58.4987694988,-34.6046576914,0 -58.4985749104,-34.6045418551,0 -58.4985596491,-34.6044514705,0 -58.4980488946,-34.6041486211,0 -58.4985458276,-34.6035919719,0"
DEV089A,"-58.4964148888,-34.6022923969,0 -58.4965300389,-34.6023007370,0 -58.4966523697,-34.6021438140,0 -58.4966367064,-34.6020816179,0 -58.4967172152,-34.6019895219,0 -58.4967953786,-34.6019603254,0 -58.4969588843,-34.6016944312,0 -58.4978575637,-34.6017581730,0 -58.4978565928,-34.6018947876,0 -58.4977977071,-34.6020308116,0 -58.4977840579,-34.6020911478,0 -58.4979663095,-34.6021952751,0 -58.4975611437,-34.6026287224,0 -58.4975647429,-34.6026961073,0 -58.4974263776,-34.6028436297,0 -58.4973475104,-34.6028568044,0 -58.4968098155,-34.6034096416,0 -58.4962571457,-34.6030972466,0 -58.4961540557,-34.6031034721,0 -58.4960101551,-34.6032881161,0 -58.4958390942,-34.6031869879,0 -58.4957052189,-34.6032063504,0 -58.4955972663,-34.6031448268,0 -58.4958474632,-34.6028197919,0 -58.4959549297,-34.6028820118,0 -58.4964148888,-34.6022923969,0"
DEV089B,"-58.4951375165,-34.6019728430,0 -58.4950890620,-34.6018994685,0 -58.4951889086,-34.6017705047,0 -58.4953086591,-34.6017249050,0 -58.4954111534,-34.6015846376,0 -58.4969588843,-34.6016944312,0 -58.4967953786,-34.6019603254,0 -58.4967172152,-34.6019895219,0 -58.4966367064,-34.6020816179,0 -58.4966523697,-34.6021438140,0 -58.4965300389,-34.6023007370,0 -58.4964148888,-34.6022923969,0 -58.4959549297,-34.6028820118,0 -58.4958474632,-34.6028197919,0 -58.4951941478,-34.6024446299,0 -58.4949138267,-34.6022822159,0 -58.4951375165,-34.6019728430,0"
DEV089C,"-58.4946302231,-34.6025858569,0 -58.4949313336,-34.6027589636,0 -58.4951941484,-34.6024446296,0 -58.4958474629,-34.6028197920,0 -58.4955972667,-34.6031448267,0 -58.4957052185,-34.6032063506,0 -58.4953603739,-34.6036448423,0 -58.4944775722,-34.6031376965,0 -58.4942840288,-34.6030195510,0 -58.4946302231,-34.6025858569,0"
DEV089D,"-58.4940245229,-34.6018029295,0 -58.4940327791,-34.6015035927,0 -58.4951989839,-34.6015695849,0 -58.4953198375,-34.6015781592,0 -58.4954111530,-34.6015846376,0 -58.4953086596,-34.6017249047,0 -58.4951889081,-34.6017705049,0 -58.4950890619,-34.6018994684,0 -58.4951375170,-34.6019728431,0 -58.4949138267,-34.6022822157,0 -58.4951941484,-34.6024446296,0 -58.4949313336,-34.6027589636,0 -58.4946302231,-34.6025858569,0 -58.4942840288,-34.6030195510,0 -58.4942090641,-34.6030370858,0 -58.4940328033,-34.6029316077,0 -58.4940111618,-34.6028223698,0 -58.4943036122,-34.6023995250,0 -58.4937625268,-34.6020262377,0 -58.4937796742,-34.6019256186,0 -58.4940245229,-34.6018029295,0"
Zona no identificada,"-58.4931797524,-34.6064068735,0 -58.4931688235,-34.6063151437,0 -58.4921347818,-34.6057122979,0 -58.4920202857,-34.6057364469,0 -58.4918465417,-34.6056234725,0 -58.4918272135,-34.6055487153,0 -58.4924109515,-34.6048506775,0 -58.4925047963,-34.6048344056,0 -58.4926306776,-34.6046835086,0 -58.4926222075,-34.6046113265,0 -58.4931451649,-34.6039758070,0 -58.4932466981,-34.6039470947,0 -58.4933572850,-34.6038100273,0 -58.4933344084,-34.6037322755,0 -58.4938367392,-34.6030829467,0 -58.4939314764,-34.6030631865,0 -58.4940328033,-34.6029316077,0 -58.4942090641,-34.6030370858,0 -58.4942840288,-34.6030195510,0 -58.4944775722,-34.6031376965,0 -58.4943101726,-34.6033442251,0 -58.4941263151,-34.6032342387,0 -58.4936223061,-34.6038880132,0 -58.4935336655,-34.6039129778,0 -58.4934195363,-34.6040459826,0 -58.4934382266,-34.6041267904,0 -58.4928958029,-34.6047674263,0 -58.4940274422,-34.6054563334,0 -58.4940420707,-34.6055205895,0 -58.4942127478,-34.6056225168,0 -58.4942866163,-34.6056097987,0 -58.4947407413,-34.6058786211,0 -58.4947524348,-34.6059338177,0 -58.4946089336,-34.6061010397,0 -58.4945379430,-34.6061107091,0 -58.4939580342,-34.6067955288,0 -58.4934358669,-34.6064957650,0 -58.4933564635,-34.6065089451,0 -58.4931797524,-34.6064068735,0"
Zona no identificada,"-58.4940328033,-34.6029316077,0 -58.4939314764,-34.6030631865,0 -58.4938367392,-34.6030829467,0 -58.4928229978,-34.6024679246,0 -58.4928134488,-34.6023944005,0 -58.4926231366,-34.6022806304,0 -58.4925397384,-34.6022900291,0 -58.4916518115,-34.6017653952,0 -58.4915384492,-34.6017610750,0 -58.4910133076,-34.6023954476,0 -58.4909434409,-34.6024051560,0 -58.4907730506,-34.6023064545,0 -58.4907598133,-34.6022442748,0 -58.4899821188,-34.6017759250,0 -58.4898857880,-34.6017936721,0 -58.4897612230,-34.6017251406,0 -58.4901265187,-34.6012825060,0 -58.4901377256,-34.6012833333,0 -58.4917736277,-34.6013758562,0 -58.4940327791,-34.6015035927,0 -58.4940245229,-34.6018029295,0 -58.4937796742,-34.6019256186,0 -58.4937625268,-34.6020262377,0 -58.4943036122,-34.6023995250,0 -58.4940111618,-34.6028223698,0 -58.4940328033,-34.6029316077,0"
DEV092A,"-58.4887026083,-34.6026891096,0 -58.4888006149,-34.6026774693,0 -58.4889255400,-34.6025261639,0 -58.4889153841,-34.6024360572,0 -58.4894395305,-34.6017972587,0 -58.4890116251,-34.6015442589,0 -58.4890057342,-34.6014859227,0 -58.4890489869,-34.6014418199,0 -58.4899268810,-34.6015248119,0 -58.4894688323,-34.6020790451,0 -58.4896996908,-34.6022074898,0 -58.4893481048,-34.6026395432,0 -58.4891652547,-34.6026653179,0 -58.4890403222,-34.6028166249,0 -58.4890727832,-34.6029713252,0 -58.4886634021,-34.6034646523,0 -58.4884314376,-34.6033419248,0 -58.4885966133,-34.6031348788,0 -58.4884286963,-34.6030443841,0 -58.4887026083,-34.6026891096,0"
DEV092B,"-58.4884314376,-34.6033419248,0 -58.4886634021,-34.6034646523,0 -58.4885764964,-34.6035693775,0 -58.4883951864,-34.6035994157,0 -58.4882713885,-34.6037440150,0 -58.4883121764,-34.6038790100,0 -58.4874894343,-34.6048427760,0 -58.4872770029,-34.6048941775,0 -58.4871619715,-34.6048253492,0 -58.4884314376,-34.6033419248,0"
DEV092C,"-58.4876146814,-34.6034791756,0 -58.4878816726,-34.6031672823,0 -58.4881901241,-34.6033397176,0 -58.4884286963,-34.6030443841,0 -58.4885966133,-34.6031348788,0 -58.4884314376,-34.6033419248,0 -58.4871619715,-34.6048253492,0 -58.4870396354,-34.6047521499,0 -58.4869916498,-34.6045926820,0 -58.4878469402,-34.6036151095,0 -58.4876146814,-34.6034791756,0"
DEV092D,"-58.4866082714,-34.6012957499,0 -58.4866479794,-34.6010337884,0 -58.4901224428,-34.6012881817,0 -58.4899268808,-34.6015248115,0 -58.4890489869,-34.6014418197,0 -58.4890057343,-34.6014859232,0 -58.4890116254,-34.6015442589,0 -58.4894395306,-34.6017972587,0 -58.4889153840,-34.6024360572,0 -58.4889255404,-34.6025261635,0 -58.4888006153,-34.6026774696,0 -58.4887026083,-34.6026891093,0 -58.4884286961,-34.6030443838,0 -58.4881901243,-34.6033397175,0 -58.4878816724,-34.6031672821,0 -58.4873562180,-34.6028597339,0 -58.4878644645,-34.6022629662,0 -58.4878385520,-34.6021189084,0 -58.4876677297,-34.6020188398,0 -58.4874938299,-34.6020425222,0 -58.4867435435,-34.6015962652,0 -58.4867216420,-34.6014561236,0 -58.4866082714,-34.6012957499,0"
DEV093,"-58.4870317362,-34.6049807168,0 -58.4836239149,-34.6089148483,0 -58.4834712028,-34.6088755249,0 -58.4834369269,-34.6087437800,0 -58.4841442446,-34.6079229176,0 -58.4832980178,-34.6074852923,0 -58.4832672463,-34.6073493483,0 -58.4834022906,-34.6071975088,0 -58.4835723764,-34.6071735615,0 -58.4838414977,-34.6068583238,0 -58.4835667977,-34.6067069662,0 -58.4835495654,-34.6065684848,0 -58.4837218361,-34.6063687885,0 -58.4829531018,-34.6058856976,0 -58.4829151808,-34.6057466154,0 -58.4830276317,-34.6056133692,0 -58.4831972471,-34.6055911371,0 -58.4834415833,-34.6053018115,0 -58.4834053277,-34.6051661292,0 -58.4835240330,-34.6050316217,0 -58.4836866428,-34.6050081662,0 -58.4839732677,-34.6046998604,0 -58.4847122505,-34.6051345129,0 -58.4849131707,-34.6051485221,0 -58.4850339250,-34.6050102431,0 -58.4852053742,-34.6051120744,0 -58.4853966238,-34.6050872777,0 -58.4861932500,-34.6055565487,0 -58.4867304967,-34.6049330216,0 -58.4869068417,-34.6049060151,0 -58.4870317362,-34.6049807168,0"
DEV094,"-58.4836239149,-34.6089148487,0 -58.4835177549,-34.6090368733,0 -58.4833361177,-34.6089899364,0 -58.4831735980,-34.6090443339,0 -58.4821430925,-34.6087789612,0 -58.4821088322,-34.6086738897,0 -58.4819098941,-34.6086244641,0 -58.4817790474,-34.6086818961,0 -58.4815479809,-34.6086261709,0 -58.4811260672,-34.6084354309,0 -58.4811382852,-34.6083929390,0 -58.4807617374,-34.6083173297,0 -58.4808491223,-34.6081767386,0 -58.4807370116,-34.6081443907,0 -58.4808401957,-34.6080305305,0 -58.4808778277,-34.6080540488,0 -58.4808860781,-34.6080731758,0 -58.4808777887,-34.6080838948,0 -58.4809064834,-34.6081001416,0 -58.4809164135,-34.6080873845,0 -58.4808932917,-34.6080674040,0 -58.4808816904,-34.6080527701,0 -58.4808890293,-34.6080443791,0 -58.4808471640,-34.6080174696,0 -58.4808058025,-34.6080643958,0 -58.4807246277,-34.6080142598,0 -58.4806361225,-34.6081075092,0 -58.4806566344,-34.6081210205,0 -58.4806150746,-34.6081628641,0 -58.4804857210,-34.6081306086,0 -58.4804383269,-34.6080144822,0 -58.4807767905,-34.6076438727,0 -58.4809433560,-34.6076295766,0 -58.4811126075,-34.6075086658,0 -58.4810988897,-34.6073591616,0 -58.4816670373,-34.6067347132,0 -58.4818523001,-34.6066956721,0 -58.4819776063,-34.6065576265,0 -58.4819571010,-34.6064130255,0 -58.4825389763,-34.6057248086,0 -58.4827123468,-34.6056885361,0 -58.4829151812,-34.6057466156,0 -58.4829531018,-34.6058856980,0 -58.4837218355,-34.6063687883,0 -58.4835495653,-34.6065684848,0 -58.4835667977,-34.6067069660,0 -58.4838414977,-34.6068583238,0 -58.4835723766,-34.6071735618,0 -58.4834022907,-34.6071975090,0 -58.4832672468,-34.6073493485,0 -58.4832980182,-34.6074852924,0 -58.4841442441,-34.6079229175,0 -58.4834369264,-34.6087437800,0 -58.4834712024,-34.6088755252,0 -58.4836239149,-34.6089148487,0"
Zona no identificada,"-58.4870327473,-34.6049795459,0 -58.4869068417,-34.6049060151,0 -58.4870396359,-34.6047521497,0 -58.4872770033,-34.6048941774,0 -58.4874894338,-34.6048427760,0 -58.4881724414,-34.6052428306,0 -58.4881736191,-34.6054308203,0 -58.4880449302,-34.6055871207,0 -58.4878414055,-34.6055845980,0 -58.4871712419,-34.6051947721,0 -58.4866078994,-34.6058282569,0 -58.4864527812,-34.6058506728,0 -58.4863325988,-34.6059882929,0 -58.4863547533,-34.6060901639,0 -58.4855663419,-34.6069933995,0 -58.4854349309,-34.6070194937,0 -58.4853262045,-34.6069570282,0 -58.4870327473,-34.6049795459,0"
DEV095A,"-58.4866078994,-34.6058282569,0 -58.4871712419,-34.6051947721,0 -58.4878414055,-34.6055845980,0 -58.4880449302,-34.6055871207,0 -58.4881736191,-34.6054308203,0 -58.4881724414,-34.6052428306,0 -58.4874894338,-34.6048427760,0 -58.4875590080,-34.6047612780,0 -58.4885761250,-34.6053557224,0 -58.4884659544,-34.6055067167,0 -58.4883423301,-34.6055315348,0 -58.4882135001,-34.6056880390,0 -58.4882565523,-34.6058044723,0 -58.4891428294,-34.6063219229,0 -58.4885607071,-34.6069876946,0 -58.4886333453,-34.6071082104,0 -58.4885162645,-34.6072476760,0 -58.4883335557,-34.6072882008,0 -58.4876481822,-34.6081274708,0 -58.4867558831,-34.6076295616,0 -58.4874481725,-34.6067733267,0 -58.4874431593,-34.6066285312,0 -58.4872726040,-34.6065301607,0 -58.4871477576,-34.6065432221,0 -58.4863547533,-34.6060901639,0 -58.4863325988,-34.6059882929,0 -58.4864527812,-34.6058506728,0 -58.4866078994,-34.6058282569,0"
DEV095C,"-58.4891428294,-34.6063219229,0 -58.4882565523,-34.6058044723,0 -58.4882135001,-34.6056880390,0 -58.4883423301,-34.6055315348,0 -58.4884659544,-34.6055067167,0 -58.4885761250,-34.6053557224,0 -58.4886470986,-34.6052705304,0 -58.4896279215,-34.6058457373,0 -58.4908756841,-34.6065734766,0 -58.4906997719,-34.6067660519,0 -58.4907207096,-34.6069303004,0 -58.4905877068,-34.6070844754,0 -58.4904693116,-34.6070784280,0 -58.4899146978,-34.6077267882,0 -58.4889746354,-34.6072055435,0 -58.4888259551,-34.6072193386,0 -58.4886333453,-34.6071082104,0 -58.4885607071,-34.6069876946,0 -58.4891428294,-34.6063219229,0"
DEV095D,"-58.4883335557,-34.6072882008,0 -58.4885162645,-34.6072476760,0 -58.4886333453,-34.6071082104,0 -58.4888259551,-34.6072193386,0 -58.4889746354,-34.6072055435,0 -58.4899146978,-34.6077267882,0 -58.4899247270,-34.6078530135,0 -58.4898029947,-34.6079898864,0 -58.4896741663,-34.6079870638,0 -58.4889137006,-34.6088405703,0 -58.4889188541,-34.6089743912,0 -58.4888017956,-34.6091048602,0 -58.4886784941,-34.6091193356,0 -58.4881753586,-34.6097002173,0 -58.4872703927,-34.6092075004,0 -58.4871440731,-34.6092282939,0 -58.4869492901,-34.6091209779,0 -58.4868999619,-34.6089994187,0 -58.4873831892,-34.6084231842,0 -58.4875530636,-34.6083979363,0 -58.4876646148,-34.6082645078,0 -58.4876481822,-34.6081274708,0 -58.4883335557,-34.6072882008,0"
DEV096,"-58.5255241401,-34.6359080620,0 -58.5256106534,-34.6358687538,0 -58.5256428235,-34.6356026606,0 -58.5259788145,-34.6355592221,0 -58.5260718966,-34.6354782577,0 -58.5262494617,-34.6355430085,0 -58.5262899731,-34.6355892696,0 -58.5266347674,-34.6354501091,0 -58.5266853721,-34.6354475944,0 -58.5267251065,-34.6354022405,0 -58.5269426606,-34.6353622696,0 -58.5270014935,-34.6353969335,0 -58.5273999434,-34.6353425671,0 -58.5274537749,-34.6352763503,0 -58.5276172850,-34.6353144563,0 -58.5276638164,-34.6353784887,0 -58.5276064173,-34.6360210180,0 -58.5279933262,-34.6360552198,0 -58.5280389139,-34.6361157576,0 -58.5280061255,-34.6363273969,0 -58.5279378612,-34.6363616517,0 -58.5278259728,-34.6370953587,0 -58.5274730497,-34.6370718100,0 -58.5273951967,-34.6371163307,0 -58.5273637492,-34.6373571913,0 -58.5271987517,-34.6373450280,0 -58.5271484633,-34.6373742440,0 -58.5267526385,-34.6373529275,0 -58.5266490158,-34.6381827956,0 -58.5265907825,-34.6382278605,0 -58.5263820718,-34.6382114057,0 -58.5263403271,-34.6381547055,0 -58.5261686668,-34.6381423482,0 -58.5259968818,-34.6381303823,0 -58.5260344350,-34.6377732067,0 -58.5257473681,-34.6377577236,0 -58.5257943174,-34.6372958894,0 -58.5254211152,-34.6372683147,0 -58.5253692153,-34.6372111215,0 -58.5253979651,-34.6369712039,0 -58.5254669658,-34.6369174524,0 -58.5255561036,-34.6361807006,0 -58.5254993270,-34.6361196358,0 -58.5255241401,-34.6359080620,0"
DEV097,"-58.5276433634,-34.6337811517,0 -58.5277439185,-34.6328080489,0 -58.5274829965,-34.6327949487,0 -58.5276561518,-34.6319719323,0 -58.5274563393,-34.6319387437,0 -58.5275276287,-34.6315024270,0 -58.5274797234,-34.6314310599,0 -58.5274587037,-34.6312165049,0 -58.5276305435,-34.6312035537,0 -58.5280180877,-34.6308213435,0 -58.5283818392,-34.6309019395,0 -58.5284781195,-34.6308707607,0 -58.5287714419,-34.6309367927,0 -58.5288140654,-34.6309999809,0 -58.5293081738,-34.6311097977,0 -58.5293815081,-34.6310742350,0 -58.5299957329,-34.6311854281,0 -58.5298031676,-34.6343578036,0 -58.5297795327,-34.6347582635,0 -58.5275737366,-34.6346240368,0 -58.5275896994,-34.6344402807,0 -58.5272739714,-34.6344228164,0 -58.5273452687,-34.6337674482,0 -58.5276433634,-34.6337811517,0"
DEV098,"-58.5116202144,-34.6242236797,0 -58.5115312406,-34.6241449939,0 -58.5116671577,-34.6240382607,0 -58.5116815103,-34.6238898707,0 -58.5113408597,-34.6235862709,0 -58.5111588094,-34.6235878756,0 -58.5110034005,-34.6234508700,0 -58.5110083770,-34.6233088426,0 -58.5107540956,-34.6230863282,0 -58.5109127090,-34.6229718502,0 -58.5105335796,-34.6226511263,0 -58.5110387127,-34.6222572062,0 -58.5112295219,-34.6222598096,0 -58.5115029273,-34.6220498536,0 -58.5115015318,-34.6218946024,0 -58.5113281877,-34.6217594901,0 -58.5111772189,-34.6217641179,0 -58.5110117346,-34.6216188657,0 -58.5110177450,-34.6214782154,0 -58.5104832714,-34.6210084744,0 -58.5109715133,-34.6206322692,0 -58.5106420765,-34.6203400790,0 -58.5104656277,-34.6204755941,0 -58.5095034828,-34.6196406557,0 -58.5098717516,-34.6193506274,0 -58.5098783094,-34.6192384200,0 -58.5100646302,-34.6190951469,0 -58.5101833863,-34.6191074901,0 -58.5103506943,-34.6189821462,0 -58.5103376145,-34.6188851981,0 -58.5105447710,-34.6187258673,0 -58.5106809873,-34.6187309432,0 -58.5109329606,-34.6185213601,0 -58.5118770027,-34.6194268210,0 -58.5120087474,-34.6194263733,0 -58.5121785829,-34.6195893254,0 -58.5121825401,-34.6196679047,0 -58.5127211056,-34.6201833650,0 -58.5128500915,-34.6201731683,0 -58.5130119354,-34.6203147152,0 -58.5130166257,-34.6204269897,0 -58.5132365937,-34.6206237241,0 -58.5133634765,-34.6206221188,0 -58.5135638836,-34.6207973455,0 -58.5135754848,-34.6209203859,0 -58.5145227209,-34.6217571076,0 -58.5146557954,-34.6217518738,0 -58.5147500026,-34.6218455777,0 -58.5116202144,-34.6242236797,0"
DEV099,"-58.5079977407,-34.6207826128,0 -58.5086882490,-34.6202663793,0 -58.5086993610,-34.6201467096,0 -58.5089896336,-34.6199212544,0 -58.5091026712,-34.6199335315,0 -58.5092254239,-34.6198429342,0 -58.5092236335,-34.6197411387,0 -58.5093664001,-34.6196318814,0 -58.5095048994,-34.6196395400,0 -58.5104658982,-34.6204758299,0 -58.5106420765,-34.6203400790,0 -58.5109715133,-34.6206322692,0 -58.5104832714,-34.6210084744,0 -58.5110177450,-34.6214782154,0 -58.5110107703,-34.6216196254,0 -58.5111772189,-34.6217641179,0 -58.5113282615,-34.6217553548,0 -58.5115015318,-34.6218946024,0 -58.5115011013,-34.6220482521,0 -58.5112295219,-34.6222598096,0 -58.5110387127,-34.6222572062,0 -58.5105335796,-34.6226511263,0 -58.5103036411,-34.6228304385,0 -58.5101698507,-34.6227118478,0 -58.5099854683,-34.6226972714,0 -58.5098235441,-34.6225544036,0 -58.5098258017,-34.6224016731,0 -58.5097625445,-34.6223484085,0 -58.5094239897,-34.6226063379,0 -58.5094215857,-34.6227614831,0 -58.5090231973,-34.6230546106,0 -58.5088306239,-34.6228834238,0 -58.5085773243,-34.6230688303,0 -58.5085034257,-34.6229963187,0 -58.5085115524,-34.6228571953,0 -58.5083211314,-34.6226778644,0 -58.5082864323,-34.6227039832,0 -58.5079626967,-34.6224100611,0 -58.5080062487,-34.6223773845,0 -58.5077186348,-34.6221104487,0 -58.5082423880,-34.6217194532,0 -58.5082555750,-34.6215692468,0 -58.5085704081,-34.6212930589,0 -58.5079977407,-34.6207826128,0"
DEV100,"-58.5069684779,-34.6252171681,0 -58.5060735720,-34.6244278563,0 -58.5058914965,-34.6244064365,0 -58.5057366726,-34.6242729728,0 -58.5057376918,-34.6241825001,0 -58.5053603361,-34.6238376977,0 -58.5052281788,-34.6238310359,0 -58.5050601572,-34.6236825746,0 -58.5050715724,-34.6235633445,0 -58.5047062098,-34.6232541156,0 -58.5053444016,-34.6227652772,0 -58.5053458851,-34.6226825579,0 -58.5055548639,-34.6225232350,0 -58.5056871550,-34.6225179995,0 -58.5061856559,-34.6221474252,0 -58.5061905122,-34.6220424889,0 -58.5063536401,-34.6219191383,0 -58.5064862429,-34.6219163502,0 -58.5066920415,-34.6217657940,0 -58.5066927469,-34.6216627709,0 -58.5068991845,-34.6215067394,0 -58.5070122969,-34.6215198667,0 -58.5075888139,-34.6210646016,0 -58.5075951392,-34.6209806653,0 -58.5078437664,-34.6207930962,0 -58.5079977407,-34.6207826128,0 -58.5085704081,-34.6212930589,0 -58.5082555750,-34.6215692468,0 -58.5082423880,-34.6217194532,0 -58.5077186348,-34.6221104487,0 -58.5080039245,-34.6223791281,0 -58.5079626967,-34.6224100611,0 -58.5082864323,-34.6227039832,0 -58.5083211314,-34.6226778644,0 -58.5085115524,-34.6228571953,0 -58.5085034257,-34.6229963187,0 -58.5083324391,-34.6231831793,0 -58.5082430493,-34.6232491952,0 -58.5084028202,-34.6233948978,0 -58.5079691574,-34.6237321177,0 -58.5083748045,-34.6240834530,0 -58.5079445967,-34.6244239445,0 -58.5079374421,-34.6246066328,0 -58.5077344694,-34.6247657602,0 -58.5075156539,-34.6247787214,0 -58.5069684779,-34.6252171681,0"
